LEA Code,LEA Name,School Code,School Name,Enrolled,PK3,PK4,KG,01,02,03,04,05,06,07,08,09,10,11,12,Adult,Ungraded
1,District of Columbia Public Schools,3005,Forbush at Oakmont- Upper School,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,District of Columbia Public Schools,1087,Forbush School at Glyndon Reisterstown MD,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,District of Columbia Public Schools,1082,Foundation School of Montgomery County Gaithersburg MD,10,0,0,0,0,0,0,0,0,0,0,0,6,3,1,0,0,0
1,District of Columbia Public Schools,3033,Frost School Oakmont Program Rockville MD,16,0,0,0,0,0,0,0,4,0,0,1,5,4,1,1,0,0
1,District of Columbia Public Schools,238,Garfield Elementary School,301,25,31,32,34,56,38,44,41,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,239,Garrison Elementary School,250,37,44,34,34,16,35,26,24,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,994,General Education Residential Schools,9,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0
1,District of Columbia Public Schools,1232,Grafton School Berryville,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,3019,Grafton School Richmond Campus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,District of Columbia Public Schools,3114,Grafton School Ruth Birch,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,District of Columbia Public Schools,227,H.D. Cooke Elementary School,404,32,55,62,53,51,55,47,49,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,464,H.D. Woodson High School,488,0,0,0,0,0,0,0,0,0,0,0,86,112,139,132,0,19
1,District of Columbia Public Schools,1250,Harbor Point Behavioral Health,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,1054,Harbour School Annapolis Annapolis MD,13,0,0,0,0,0,0,0,0,1,1,2,6,2,1,0,0,0
1,District of Columbia Public Schools,246,Hardy Middle School,392,0,0,0,0,0,0,0,0,128,142,122,0,0,0,0,0,0
1,District of Columbia Public Schools,413,Hart Middle School,337,0,0,0,0,0,0,0,0,116,117,104,0,0,0,0,0,0
1,District of Columbia Public Schools,258,Hearst Elementary School,312,0,46,43,51,49,43,41,39,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,249,Hendley Elementary School,379,25,32,54,53,47,58,54,56,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,1431,Hermitage Hall Nashville TN,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,District of Columbia Public Schools,1200,High Road of Maryland Lower School Prince George's County,11,0,0,0,0,0,1,0,0,0,0,2,4,2,0,2,0,0
1,District of Columbia Public Schools,3062,High Road of Maryland Upper School Prince George's County,9,0,0,0,0,0,0,0,0,0,0,0,5,3,0,1,0,0
1,District of Columbia Public Schools,251,Houston Elementary School,269,31,38,33,33,32,30,36,36,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,1092,HRMD High Road Academy of Howard County,4,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1
1,District of Columbia Public Schools,1171,HRMD High Road Academy of Prince Georges County,10,0,0,0,0,0,0,0,0,0,0,1,3,2,2,2,0,0
1,District of Columbia Public Schools,1139,HRMD High Road School of Southern Maryland,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,District of Columbia Public Schools,1410,Hughes Center for Exceptional Children Danville VA,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1,District of Columbia Public Schools,252,Hyde-Addison Elementary School @ Meyer,320,16,43,69,43,46,38,35,30,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,480,Inspiring Youth Program,40,0,0,0,0,0,0,0,0,0,0,0,11,10,9,10,0,0
1,District of Columbia Public Schools,1051,Ivymount School Rockville MD,32,0,0,0,0,1,0,0,1,2,2,3,3,0,1,2,0,17
1,District of Columbia Public Schools,339,J.O. Wilson Elementary School,509,48,62,67,74,66,71,64,57,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,254,Janney Elementary School,737,0,60,128,105,104,122,105,113,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,433,Jefferson Middle School Academy,314,0,0,0,0,0,0,0,0,125,101,88,0,0,0,0,0,0
1,District of Columbia Public Schools,416,Johnson Middle School,255,0,0,0,0,0,0,0,0,96,77,82,0,0,0,0,0,0
1,District of Columbia Public Schools,1079,Katherine Thomas School Rockville MD,24,0,0,0,0,0,1,0,3,0,0,0,11,2,1,6,0,0
1,District of Columbia Public Schools,421,Kelly Miller Middle School,387,0,0,0,0,0,0,0,0,124,127,136,0,0,0,0,0,0
1,District of Columbia Public Schools,1168,Kennedy Krieger Fairmont Campus Baltimore MD,4,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,1056,Kennedy Krieger Greenspring Campus Baltimore MD,9,0,0,0,0,0,0,0,0,0,0,0,6,1,2,0,0,0
1,District of Columbia Public Schools,3117,Kennedy Krieger Greenspring Campus LEAP Program,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,District of Columbia Public Schools,1184,Kennedy Krieger Montgomery County Campus Rockville MD,9,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,5
1,District of Columbia Public Schools,257,Ketcham Elementary School,310,31,40,46,35,40,37,41,40,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,272,Key Elementary School,417,0,40,81,56,74,68,52,46,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,259,Kimball Elementary School @ Davis,325,25,33,38,47,38,53,56,35,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,344,King Elementary School,346,27,35,56,49,49,38,41,51,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,1070,Kingsbury Day School DC,31,0,0,0,0,0,0,1,0,4,0,2,6,4,6,7,0,1
1,District of Columbia Public Schools,3109,Kingsbury HOPE Program,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
1,District of Columbia Public Schools,417,Kramer Middle School,194,0,0,0,0,0,0,0,0,62,67,65,0,0,0,0,0,0
1,District of Columbia Public Schools,3129,KVC Academy,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,District of Columbia Public Schools,1046,Lab School of Washington DC,31,0,0,0,0,0,0,2,1,3,3,5,4,2,2,9,0,0
1,District of Columbia Public Schools,261,Lafayette Elementary School,816,0,97,141,139,117,127,89,106,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,262,Langdon Elementary School,324,39,40,50,34,44,42,33,42,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,370,Langley Elementary School,275,41,26,39,20,32,35,34,48,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,264,LaSalle-Backus Education Campus,363,23,25,43,33,29,28,32,33,42,39,36,0,0,0,0,0,0
1,District of Columbia Public Schools,266,Leckie Education Campus,558,42,57,65,68,62,60,58,50,35,31,30,0,0,0,0,0,0
1,District of Columbia Public Schools,1066,Lt. Joseph P. Kennedy Institute,22,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,15
1,District of Columbia Public Schools,271,Ludlow-Taylor Elementary School,414,47,62,58,62,37,56,49,43,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,884,Luke C. Moore High School,251,0,0,0,0,0,0,0,0,0,0,0,66,64,63,58,0,0
1,District of Columbia Public Schools,420,MacFarland Middle School,132,0,0,0,0,0,0,0,0,62,70,0,0,0,0,0,0,0
1,District of Columbia Public Schools,308,Malcolm X Elementary School @ Green,256,27,31,36,33,33,38,28,30,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,273,Mann Elementary School,400,0,40,63,67,73,59,50,48,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,284,Marie Reed Elementary School,427,48,53,61,55,62,47,54,47,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,3021,Maryland School for the Blind Baltimore MD,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,District of Columbia Public Schools,274,Maury Elementary School,407,39,47,64,62,54,52,48,41,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,435,McKinley Middle School,241,0,0,0,0,0,0,0,0,76,92,73,0,0,0,0,0,0
1,District of Columbia Public Schools,458,McKinley Technology High School,620,0,0,0,0,0,0,0,0,0,0,0,190,142,148,140,0,0
